,domain,avg_score,sentence,group
754,blog,0.6,"It did not take long, upon the shocking revelation that DeDe Scozzafava had walked the plank, for a number of political dominoes to begin to fall:",train
755,answers,-1.8,I think Monroe piercings are icky on anyone.,train
756,answers,-2.8,where the hell is he??,train
757,blog,1.8,"27The Ares 1-X test rocket climbs into the sky on a six-minute suborbital flight from launch pad 39B at the Kennedy Space Center in Cape Canaveral, Florida October 28, 2009.",train
758,email,2.6,But no irreversible harm will come from putting this reform bill off another year so adequate provisions can be made to protect all the people.,train
759,email,1.6,"More than 700,000 of these older adults are legally blind.",train
760,answers,-1.8,only if its a boy but if it is a girl shemna,train
761,news,1.4,"The state will spend roughly $350 million more in 2010 than it was paying in 2006 to maintain its health care system, according to the Massachusetts Taxpayers Foundation.",train
762,blog,0.6,"Many of the people she's relying on to turn things around were at Yahoo in the bad old days, and don't enjoy being thrown under a bus to please analysts.",train
763,news,-0.4,Hebert had temporary custody of Bianca.,train
764,email,2.8,"In 1980, joined the Organization of American States in Washington, first as Deputy Director of the Regional Program for Scientific and Technological Development, then as Advisor to the Secretary General for External Relations, dealing with European and Middle Eastern countries holding Permanent Observer Status to the OAS.",train
765,blog,-1.8,Dump Dede has more.,train
766,answers,-2.0,it won't work.,train
767,news,0.6,"In 2001, it paid pollster Philip Gould, one of Tony Blair's most trusted advisers, to help reorganise its publicity, media and lobbying operation.",train
768,answers,0.0,"Use Demonoid.com, The Pirate Bay, TorrentSpy or some other site.",train
769,answers,-0.6,"Now do the same thing at the point (-3,0).",train
770,blog,1.6,"Apple has made it painless for consumers to spend money and get the media they want where they want it, proving that consumers are happy to pay for media if delivered in ways that make it easy and blissful to consume.",train
771,answers,-0.25,I don't know if this can be repaired.,train
772,email,0.0,BlackBerry.net),train
773,answers,-1.0,Lose weight and only go downhill.,train
774,answers,-3.0,chunky and the coon tails,train
775,news,0.8,"His campaign manager Satar Murad said the candidate might still change his mind, but that ""as of now"" he planned to call for a boycott.",train
776,news,0.4,"On Saturday, crews ground the sides of metal holes designed for large nuts that stabilize the original repair.",train
777,news,0.8,Crist was to be evaluated on Monday.,train
778,answers,-1.0,Stay distant from them.,train
779,blog,0.8,"Whereas Cavallari was introduced as the anti-heroine off the bat, a role already occupied to perfection by Heidi Montag.",train
780,answers,-2.0,i suppose its iit and also pec (PUNJAB ENGG COLL).,train
781,answers,2.0,"For more than two decades after, the house on Ridge Avenue remained empty.",train
782,email,-1.5,It's all about peace and every man's right to be.,train
783,blog,-0.6,"""We track tons of stuff - where people die, how many weapons are used, what's the most used weapon in a particular area, what's the longest playthrough for a checkpoint,"" Minkoff said.",train
784,news,0.4,Senate Democrats want to extend the credit through April and expand it to allow higher-income Americans and some who already own homes to qualify for the incentive.,train
785,news,1.4,October was the deadliest month of the war for U.S. forces with at least 57 American deaths.,train
786,blog,0.2,"Each of the three associate levels will be tied to an ""academy.""",train
787,answers,-0.4,"I wouldn't say taboo, but its not really proper.",train
788,answers,-2.6,but the meds do help alot!!,train
789,answers,1.5,The Wind Dancer (1991) 2.,train
790,news,1.4,But the influential Southern Metropolis Daily and several other major Chinese newspapers have applauded Yuan's candor.,train
791,email,-1.5,May have to hang it up...sure appreciated your diligence...waiting to see what happens now.,train
792,news,1.4,This summer the Lords sought to change the law by authorising courts to start proceedings against companies paying ransoms without telling the British authorities.,train
793,news,2.4,"All seven aboard the Coast Guard plane are stationed at the Coast Guard Air Station in Sacramento, Calif., where their aircraft was based.",train
794,answers,-2.8,that's the stupidest suggestion EVER.,train
795,news,1.8,"He declined to say whether the recession is over, saying economists will figure that out years from now.",train
796,news,1.2,"In primary races, the bill would restrict legislative and political party leaders to giving a combined $200,000 to a statewide candidate, $125,000 to a state Senate candidate, and $75,000 to a state House candidate.",train
797,answers,-1.4,"Join a club or two, do some service.",train
798,answers,-0.8,I'm so tired all the time.,train
799,news,-1.2,"""That poor girl will have a lot of healing to do.""",train
800,answers,-1.4,* Wake up dear love it's a beautiful day!,train
801,answers,1.6,"Thus, all of them are irrelevant and useless in our debate.",train
802,email,1.4,"To help see this more clearly, The University of Miami (a private University) would not make reports to The State Retirement Division.",train
803,news,-0.2,"No bodies have been found in the debris field, and the mission is still considered search and rescue, not search and recovery, Coast Guard Petty Officer 2nd Class Jetta Disco said Saturday morning.",train
804,answers,-0.6,The thinner the loc the longer the curl will remain.,train
805,blog,0.6,"The conversation on this Sunday's talk shows revolves around the top issues on President Obama's agenda, from reigniting the economy and reforming health care to revamping American policy in Afghanistan.",train
806,blog,1.6,"His longtime PR guru, the late Bob Jones, once told me that whatever kind of business contract Michael Jackson signed, he was instructed to announce it to the public by adding a zero.",train
807,answers,-3.0,* what the world needs is only more of U & UR smile!!,train
808,answers,-1.2,Katie's phone number.,train
809,answers,-1.6,I guess your graphic card does `nt support directx 9.0 c,train
810,answers,-0.6,Bless your heart.,train
811,email,1.2,Please do not allow any more Everglades development.,train
812,answers,-2.0,Oh just ask her out.,train
813,answers,1.2,All searches are exact.,train
814,news,-1.0,"""Now he only comes two times a month because he has too much work.""",train
815,news,1.0,"Home minister P Chidambaram has said Naxalism has spread to 20 states with over 2,000 police station areas in 223 districts partially or substantially affected.",train
816,email,0.6,"""I just can't see prosecuting a person who hasn't done anything to an identifiable victim."" Society ""is not a victim, if anything it is a perpetrator, victimizing others.",train
817,answers,-1.4,"Sure, if your poems are good enough to get published.",train
818,news,0.8,"""SADC will continue its efforts to support, to help Zimbabweans helping themselves by this troika finishing as soon as possible, I mean very urgently, the report we are supposed to prepare send it to the chairman of the troika and to do our best to convene a summit of the troika as soon as possible,"" he said.",train
819,news,2.0,"In Rizal province's Taytay township, about 400 shanties - home to about 2,000 people who had been forced to flee their lakeside homes during Ketsana - were destroyed by strong winds, Mayor Joric Gacula said.",train
820,news,1.4,"This field of scientific inquiry has grown by leaps and bounds since 2005, when Hurricane Katrina lashed the northern Gulf Coast and Massachusetts Institute of Technology hurricane scientist Kerry Emanuel published a paper linking climate change to more powerful hurricanes.",train
821,news,1.6,General Jones's office declined to say whether Ashcroft was present at Hague's meeting.,train
822,news,1.4,"Since the $65 billion Madoff Ponzi scheme came to light last year and the average hedge fund posted its worst-ever returns by losing 19 percent in 2008, many investors have demanded more data from hedge funds to try and eliminate any whiff of potential problems.",train
823,answers,1.2,Only put a tablespoon in at a time.,train
824,answers,-1.6,CONTROL YOURSELF BETWEEN 6TH MONTH TO 18 Month.,train
825,answers,0.8,Fish as food: Fish are an important source of food in many cultures.,train
826,email,-0.6,Good afternoon!,train
827,news,-0.2,"Martin said word was that O'Quinn wanted to have at least 1,000 cars.",train
828,answers,-0.75,(The Riddle) Why have a Cold War?,train
829,news,1.0,"Policy makers need to ""manage inflation expectations,"" curb excess capacity and encourage sustainable lending growth, the central bank said in its report on the third-quarter economy.",train
830,blog,1.4,Leftist feminists feel that conservative women disparage the very things feminists work for while enjoying the benefits of that work.,train
831,news,0.8,"Top legislator Wu Bangguo said the law clarified diplomats' duties and obligations as well as titles and ranks, which was ""conducive to the implementation of the country's independent foreign policy.""",train
832,news,0.8,"Shannon told reporters that he had emphasized that time was running out, and that the two sides had realized ""there was no more space to dither.""",train
833,answers,-2.8,I like you being naughty;),train
834,news,1.2,The U.S. has lost a total of 7.2 million jobs since the recession began in December 2007.,train
835,news,1.6,It proved the same while running for governor:,train
836,answers,-2.0,"At least, we're not that fucking stupid.",train
837,news,-0.8,"""Otherwise, it's an urban agenda, or a very progressive agenda.""",train
838,news,-1.2,It follows the program's poor returns this year.,train
839,blog,1.4,"""Doug's campaign will receive the financial backing of the RNC, and get-out-the-vote efforts to defeat (Democrat) Bill Owens on Tuesday,'' Steele said in a statement issued by the RNC today.",train
840,email,-0.25,You know that the FCAT is not a bubble test.,train
841,answers,-3.0,if he treats u right,train
842,answers,-2.0,I don't normally use spell checkers...,train
843,news,1.6,The Swiss-based International Olympic Committee also rejects Yuan's allegations.,train
844,answers,-0.6,"God, My Immortal by Evanescence just tears at your heart.",train
845,email,0.6,"My livelihood, my career, has been compromised.",train
846,answers,0.4,"Mussolini called his Fascist Italy, the ""corporate state"".",train
847,answers,-1.0,"But, yeah it sounds very cute!",train
848,news,-1.4,"""Whether it's been stops in the red zone like against Northern Colorado or turnovers here.",train
849,answers,1.2,Remove covers from litter boxes.,train
850,answers,-1.0,Agree with her.,train
851,blog,-0.4,"To which the SEC-er responded: ""It's a big organization, we don't talk to each other.""",train
852,answers,0.6,"Of course, you have to have a valid passport from your home country.",train
853,news,0.2,"His enemies, including major landowners, branded him a thuggish thief.",train
854,answers,-0.8,All the best!,train
855,blog,1.4,Since he already knew many of the people from the Bronx center he said he has spent much of his time with reservists from Indiana and Ohio.,train
856,answers,-1.6,Well you aren't.,train
857,email,0.0,"I was treated worse than a criminal and I was forced to dress in front of woman Warren County Sheriff Deputy, which is a clear violation of my Civil rights.",train
858,answers,-0.666666666667,"For More Details, Visit - http://www.profitfromnet.com http://www.profitfromnet.com/StudentLoan.htm http://www.profitfromnet.com/PartTimeJobs.htm http://www.profitfromnet.com/ReaEstate.htm http://www.profitfromnet.com/CreditCard.htm http://www.profitfromnet.com/CarInsurance.htm",train
859,news,2.0,"Also in the race are Mills Worsham, who represents the area on the HCC board, and George Foulard, 22, an operations manager at a local energy company who raised a surprising $112,000 for his first race.",train
860,news,0.6,"""The water is high. We need help,"" he said in a public address via Radio DZBB.",train
861,answers,-2.0,"the clock stuck one, the mouse ran down hickory dickory dock.",train
862,email,2.2,"In the summer of 2001, Mr. Davis had proposed cutting $98-million from the community - college system's budget.",train
863,email,1.6,"This is something we choose to do, and in those restrictions we decide how certain things will be done in our community.",train
864,blog,-0.4,"NASA: Pure, welcome information overload for space geeks, in an app.",train
865,news,1.8,They still allow the annual state-sponsored holiday tree inside the Capitol rotunda.,train
866,news,0.6,"China asks the EU to abide by the principles of equality and mutual respect and not to send any misleading signals to Tibetan separatists, so as to ensure sound and stable development of EU-China relations, Ma said.",train
867,answers,-0.6,But I will just get them one by one.,train
868,news,1.2,State officials and advocates warn that it is far too early to draw firm conclusions about how the federal proposals would affect Massachusetts.,train
869,blog,2.0,"As for Bulkeley himself, he continued serving in the Navy in various capacities for the rest of his life, eventually rising to the rank of Vice Admiral.",train
870,blog,1.0,The Obama administration is set to make a decision in the next several months about the near-term direction of U.S. Space Policy.,train
871,news,0.0,"Schulz, who said Miliband would make a ""superb candidate"", refused to elaborate on the private talks.",train
872,answers,0.8,If they have problems it could take as much as a month or more.,train
873,email,0.4,I see kids that act up in school and disrupt the class and are sent to the office just to follow the assistant Principal around all day.,train
874,blog,2.0,"In an excerpt, the Indiana Republican presses the president to take take ownership of the economy and the war in Afghanistan.",train
875,answers,1.8,It will take time to see improvements.,train
876,news,-0.4,"""I still got a goal to get to 89 touchdowns because my quarterback coach (Zak Hill) was a four-year starter at (Central Washington) and he had 88, so I've still got another goal.""",train
877,answers,-2.6,we're all insane.,train
878,email,-1.4,Thank you!!,train
879,answers,0.0,Keep your feelings secret only giving little hints to keep him intrigued,train
880,answers,0.0,And their emotions seem to vary more then mens.,train
881,blog,0.6,Under Armour (NYSE: UA) posted better-than-expectedquarterly results and raised its full-year guidance along the way.,train
882,news,0.6,"Simon Thomson, founder of the Dubai-based Middle East Council of Shopping Centres, said Tesco had been 'conspicuous in their absence' in the region.",train
883,answers,0.0,It has been over a year for me.,train
884,answers,0.0,`Maynard's Dick 'by Maynard James Keenan or Tool.,train
885,blog,-2.2,Happy Halloween.,train
886,news,0.8,"Officials feel that Naxal menace, which now spread to 40,000 sq km area across the country, can be wiped out in a period of 12 to 30 months.",train
887,blog,-0.8,The story and the list have been updated.,train
888,blog,0.2,"However, as Netflix has partnered with Web-tethered DVRs, Blu-ray players, and video-game console makers, the service has made its way into the more practical living room setting.",train
889,answers,-2.8,would u be here till this day.,train
890,answers,-1.25,Grease for each crepe.,train
891,answers,1.4,This is the reaction of ausin at the tips of the plants.,train
892,email,-1.0,Congratulations!,train
893,news,1.2,He believes in spreading the gospel of his faith -- an evangelical tenet that rubbed some Christians in Rossville the wrong way.,train
894,email,-3.0,this is not good.,train
895,answers,1.0,"She should, however, be prepared to deal with the consequences of that.",train
896,answers,-2.6,Penguins > devils: P,train
897,news,-0.4,"""But this is the reality resulting from the absurd and shameful blockade,"" he added.",train
898,answers,1.2,And remember that root crops need less sunlight than above ground crops.,train
899,blog,0.4,"He says, ""I sometimes wonder if the very rich can live, on average, 20 years longer than the poor. That's 20 more years of earning and saving. Think about wealth and power and the advantages that you pass on to your children.""",train
900,news,1.4,"As a convicted sex offender, Sowell was required to report regularly to the sheriff's office, which said he had complied.",train
901,news,0.4,On the third floor of the home two badly decomposed corpses were found.,train
902,email,-1.6,No. I thought it was best to share internally first.,train
903,answers,-1.2,I know everyone!,train
904,answers,-1.8,"The heart pumping, momentum",train
905,news,0.6,"The cost of the credit-default swaps implies that traders have priced in an 85.5 percent chance that the company will default within five years, a standard pricing model used by Bloomberg shows.",train
906,news,1.6,Hamas has long preached that Abbas' moderation doesn't pay and that only armed struggle will produce a Palestinian state.,train
907,answers,0.2,Pena and Suzie were both killed.,train
908,news,0.0,The effort was also aided by clear weather and calm winds.,train
909,email,2.2,"Even with the highest percentage of students in attendance at charter schools in the entire state, public schools are extermely overcrowded.",train
910,news,0.4,"U.S. Secretary of State Hillary Rodham Clinton praised the ""historic agreement"" and said she was ""very proud"" that the U.S. was ""instrumental in the process.""",train
911,answers,-2.4,Same old stuff.,train
912,news,1.0,The Supreme Court Collegium has pulled the name of Karnataka High Court Chief Justice P D Dinakaran from the five-strong list of HC chief justices it had recommended for elevation to the apex court.,train
913,news,1.6,"RBS is expected to lose 312 branches south of the border, which will become Williams & Glyn's, a bank that enjoyed an exclusive reputation in the Seventies for serving better-off customers.",train
914,email,-1.25,This would be a good one.,train
915,email,-1.0,I am still confused why your network will not pick up the story.,train
916,blog,-0.6,"The Drudge Report linked to the Daily Times article on October 31 with the headline, ""Hillary: 'We tax everything that moves and doesn't move.' """,train
917,answers,-1.2,But I would LOVE to see OSU v. Michigan in AZ in January.,train
918,blog,-1.0,It has arrived from a company that is delivering the goods.,train
919,answers,-1.6,We're all in one giant ant farm of some little alien child.,train
920,answers,-2.4,well thanks for the points!,train
921,email,0.4,That's 35 years of forecasting the weather for the people of Central Florida.,train
922,answers,2.0,Today companies seriously look at the reasons and benefits for becoming registered.,train
923,blog,0.2,"June Middleton was paralysed when she entered the respiratory chamber in 1949, aged 23, and doctors gave her a slim chance of survival.",train
924,news,0.4,"Some pirates suggested trading the couple, both in their 50s, for jailed comrades, residents said.",train
925,blog,0.8,"If they're pro-life, they lose a lot of women voters.",train
926,news,1.6,"But historians say it is important to establish the truth about the Communist era, and the work of the puzzlers has unmasked prominent figures in the former East Germany as Stasi agents.",train
927,news,1.6,"As well as paying for most of Hague's flights, Flying Lion has flown Mark Francois, the shadow minister to Europe, to former Yugoslav and Russian states and Andrew Mitchell, the shadow international development secretary, to South America, the Caribbean and Africa over the last two years.",train
928,answers,-2.4,That bastard cashed a bad cheque downstairs and gave you as a reference.,train
929,blog,-0.6,"""We don't want somebody to come out of a game and feel like they accomplished nothing, and they only got two trophies because the others were so esoteric, weird or difficult to find. It's like a slap in the face, to say, 'You thought you played Uncharted, but you really haven't.' """,train
930,news,1.0,Two police officers also said they were persuaded by the endorsement of the Houston Police Officers' Union and the Houston Professional Fire Fighters Association.,train
931,news,1.0,"The survey of laws, practices and size of inflows in 60 jurisdictions found Delaware coming in first, followed by Luxembourg and then Switzerland.",train
932,email,0.0,"The TEA won't know how many missed the TAKS until May, when it receives data from NCS Pearson, the testing contractor.",train
933,news,1.4,"Cook, a retired parole officer, has joined forces with candidates in two other races to form a ""Progressive Coalition"" for City Council.",train
934,answers,-3.0,rotfl U are soooo funny!!!,train
935,answers,-3.0,yes me to i love jbl moooooooooooooooooo,train
936,email,0.8,Dade County is working on this as well.,train
937,answers,-1.8,"I feel my childhood was ""normal"".",train
938,news,1.2,"Erekat said that Abbas wants negotiations to pick up where they left off with former Prime Minister Ehud Olmert, and that the Israelis do not.",train
939,answers,-2.5,U have to run your life with this only.,train
940,answers,-1.75,probably a bartender.,train
941,answers,-2.5,"holy seattle li'l leauger bra ca nam bla member participants and bait, man!",train
942,news,0.6,It's her generation's children - what pop sociologists have dubbed the millennials - who are leaving an interesting mark on television these days.,train
943,answers,-0.6,"Leave it alone, see a dermatologist.",train
944,answers,-1.8,I found myself glued to the screen while I was PG!!,train
945,news,0.0,"But he knows his role is temporary, and he is not seeking attention for himself.",train
946,answers,-1.2,It is 4.38 p.m. & I am in Kolkata.,train
947,blog,0.8,"After Chanel's barnyard spring 2010 extravaganza, it's only natural for Vogue to hit the farm for November's environment issue.",train
948,answers,-0.6,"http://prisontalk.com/forums/forumdisplay.php?s=&daysprune=&f=186 Whatever you want to know, someone here has the answer",train
949,news,1.0,"Abdullah canceled a planned trip to the Indian capital, Delhi, to attend a conference there Saturday.",train
950,news,0.4,"""He was flying, just like he liked to,"" she said.",train
951,answers,0.4,Use more polite or cordial tendencies.,train
952,blog,0.8,"But given how many musicians we're hearing about these days making exactly these types of things work to the point where they can make a living doing it, you have to begin to realize that something's working.",train
953,blog,1.6,"Democrats, in turn, will argue that the GOP has grown too conservative for the party's moderates -- a case that was helped today -- except that the vast rural region of upstate New York is hardly a bellwether district.)",train
954,news,1.4,"The government, which holds a 70% stake in RBS and a 43% stake in Lloyds after last October's bailouts, hopes to announce the plans on Tuesday.",train
955,answers,0.2,"Support your brother at home, but don't fight his battles for him.",train
956,blog,-2.8,2. What the hell isn't he talking about?,train
957,answers,-2.6,Does he come home to u for his vacations?,train
958,answers,-1.2,all i know about clam chowder is from the simpsons.,train
959,answers,-1.2,It kills very fast.,train
960,blog,0.0,"Unlike a lot of other people, I don't consider myself a Costco fan (I was surprised to find both an ilovecostco.com site and a fan page on Facebook) simply because the company has no store within a reasonable driving distance.",train
961,news,0.6,"Together with his wife and two children, Qian sailed for more than a month before arriving in the mainland.",train
962,blog,1.4,Democrat Bill Owens and Conservative Doug Hoffman have put out statements reacting to moderate Republican candidate Dede Scozzafava dropping out of the race in NY-23.,train
963,answers,-3.0,ye deffo no doubt,train
964,email,1.66666666667,Please check the emergency management web - site frequently for the latest updates - http://www.floridadisaster.org.,train
965,news,1.2,"Other prominent cases involve former Red Army Faction terrorists who were harbored by the Stasi, and a Berlin sports doctor who doped East German athletes.",train
966,news,1.0,"Even when car bombs were exploding in the neighborhood, his mother insisted on watering the garden daily.",train
967,email,2.5,"The search for a new Director is underway and the Board has identified a laundry list of ""core competencies"" that no one can possibly possess but the glaring one not listed is ""Demonstrated Financial and financial systems management"" or an emphasis on financial controls and accountability.",train
968,news,0.8,"The scene attracted onlookers, some calling others over by cell phone, and eventually there were as many as 10 men or boys sexually assaulting the girl while another 20 looked on, laughing and snapping pictures.",train
969,answers,-2.2,Good luck and Baby dust!,train
970,blog,-1.2,Here's what voters thought they knew:,train
971,blog,0.0,Women are more than their reproductive organs.,train
972,answers,-2.8,"no, very fagot like!",train
973,answers,-2.2,For all I know he might think you guys are just friends.,train
974,answers,1.6,You will get the same results.,train
975,blog,1.2,"Last year, Apple was sued over its iMacs with cheaper, 6-bit TN (""twisted nematic"") screens, which have a narrower viewing angle and less color accuracy and depth, because some users argued the screens were technically incapable of actually producing the ""millions of colors"" supported by their graphics cards.",train
976,news,0.0,"The eventual moratorium froze pending requests for a ""flying spaghetti monster"" display, a poem display sought by a Kansas church that slammed Santa Claus, a Jerry Seinfeld-inspired ""Festivus"" pole and others.",train
977,answers,1.0,I went on a date once with my fiance.,train
978,answers,-2.8,Vultures Are Stupid Unless Dogs Have Ass lol.,train
979,answers,-0.2,a 4 ohm speaker requires more power than a 2 ohm.,train
980,blog,2.2,"His dynamic forcefulness and daring in offensive action, his brilliantly planned and skillfully executed attacks, supplemented by a unique resourcefulness and ingenuity, characterize him as an outstanding leader of men and a gallant and intrepid seaman.",train
981,answers,-2.4,hmm... i hope not.,train
982,answers,0.0,Then tell them your impute will be needed for their performance evaluation.,train
983,email,-2.4,I have already lost 13 pounds and gone down 2 belt notches.,train
984,email,-2.25,I don't know what my schedule is so I don't know if I can make it.,train
985,news,1.4,"""This was a barbaric crime, and I find it hard to wrap my head around the fact that so many watched and didn't report it,"" Gagan said.",train
986,news,1.6,"Wu presided over the 11th meeting of the Standing Committee of the 11th National People's Congress (NPC), the top legislature.",train
987,blog,1.6,"Replete with text-to-speech features, the maps are layered with traffic data and a satellite view.",train
988,news,1.0,"The UN-backed Electoral Complaints Commission's (ECC) action meant Mr Karzai's total was reduced to below the 50% plus one vote threshold for outright victory, indicating a run-off poll was needed.",train
989,news,1.2,He has contracts with several banking institutions to provide advice and peddles his experience to foreign governments through Tony Blair Associates.,train
990,email,1.0,A simple disagreement with my wife that regrettably involved the Jacksonville Sheriffs Office has all but destroyed a family.,train
991,news,1.2,Mr. Ramesh fretted that India's growth would be stunted if the country could not exploit its own natural resources.,train
992,answers,2.6,A lack implies there is some but it is insufficient or inconclusive.,train
993,answers,-1.6,"change the oil, take care of the rest, it'll last...",train
994,answers,-2.4,LETS GO METS!!!!!!!!!!!,train
995,answers,-2.8,Three... That is so hard... 1.,train
996,answers,-1.8,That just cost me 10 points.,train
997,news,1.2,Endorsements were cited repeatedly by backers of former city attorney Gene Locke.,train
998,answers,0.2,The present is all there is.,train
999,answers,-0.6,I am guessing its a pump or semi - auto.,train
1000,answers,-2.0,"Or you can go to each picture, R click, DEL..",train
1001,answers,0.2,Add a little toothpaste.,train
1002,news,1.2,He added that the states of the bodies made it hard to tell how long they had lain in the makeshift graves.,train
1003,blog,-1.4,"Nikon Learn and Explore: It's heavily branded and obviously intended to promote the Nikon name, but hey who cares: Nikon's Learn and Explore app is actually a great, free photography primer no matter what kind of camera you carry.",train
1004,answers,-1.75,"(1977, Vol.",train
1005,answers,-0.6,That was Daryl Hannah.,train
1006,answers,-2.33333333333,CM Punk 9.,train
1007,answers,-1.2,We started every morning with it.,train
1008,blog,-1.8,It's free!,train
1009,news,1.8,"Kirk insists he will use his influence more, though it is unlikely he would throw verbal bombs at Republicans or give fiery speeches.",train
1010,news,0.4,"""Instead of being sad or throwing back drinks at a bar for them, it's a way to remember them, to keep them alive,"" said Arreola, 33, who still works for the Marines.",train
1011,answers,-1.2,"Make him a candlight dinner, dress in something sexy and say Merry Christmas.",train
1012,news,0.8,"At a news conference this month in his hometown of Nanjing, Yuan told Chinese reporters he didn't want to cause controversy.",train
1013,news,0.2,"The incident occurred late in the week during an interrogation at the general directorate of criminal investigations in Baghdad, the ministry said in a statement.",train
1014,blog,0.4,"And to Singer's credit, nowhere in the piece does she point this out.",train
1015,email,1.33333333333,"But the minor techincalities build up, the labeling and matches of certain topics I can not remeber, or confusion of the directions with a non - coarperative or distrated teacher.",train
1016,answers,-2.4,see the doc.,train
1017,blog,-1.4,We bagged ours.,train
1018,answers,0.5,T - Netix contract with Alabama began in February 2002.,train
1019,answers,0.0,Talk to him to finish the second primary objective.,train
1020,answers,0.6,* Fitness Test - A variety of tests are used.,train
1021,answers,-1.2,Yes he is and his followers too.,train
1022,news,0.8,"The Rev. Donald Lewis, chancellor of the Corellian Nativist Tradition, the distinct brand of Wicca conjured up by his great-grandmother in central Illinois about half a century ago, said controversy was never the mission.",train
1023,answers,-2.2,"And there was a big fire, but God wasn't in the fire.",train
1024,answers,-1.5,"Don't worry, you did the right thing getting her desexed.",train
1025,blog,1.2,You can read more about the 3.6 changes from a web development perspective here.,train
1026,email,2.4,We request that you vote against the expansion of the existing church facility known as Cape Coral Community Church and the additional three proposals and phases being requested.,train
1027,email,-1.2,I hope you continue to enjoy it!,train
1028,answers,-2.8,AT THE BEACH.,train
1029,blog,-1.8,"A woman, any woman, will do.",train
1030,email,-1.0,Also if I who am an average person can do it it will give many people incentive and hope that they also can do the same.,train
1031,news,-0.2,"Ministers will stop this happening using their powers as controlling shareholders in Lloyds, RBS and Northern Rock, rather than through new regulations.",train
1032,answers,-1.6,"This is bat country!""",train
1033,answers,-2.6,"yeah, she's just trying to make it sound better haha",train
1034,blog,-1.0,Thinking of dressing up your little ones?,train
1035,news,0.6,The reporter suggested that Tibetan culture had become popular among the Chinese - that both sides were learning to co-exist peacefully.,train
1036,news,1.6,"Arias and the OAS had laid the groundwork for a deal, but the main sticking point -- Zelaya's reinstatement -- seemed insurmountable as the de facto government consistently balked.",train
1037,news,1.8,A Tesco spokeswoman said: 'We wouldn't comment on which advisers we may or may not talk to or speculation about potential markets for Tesco.',train
1038,blog,-1.0,"Tweetie, for you have been replaced; cannibalized by your own child.",train
1039,answers,-0.6,4 cups water.,train
1040,news,0.8,"Many intellectuals and even some politicians once sympathized with their cause, but the growing Maoist violence has forced a wrenching reconsideration of whether they can still be tolerated.",train
1041,news,0.6,"If the newest repair should break, officials said, pieces of metal have been attached to the bridge to keep the patch from falling.",train
1042,answers,0.2,Please get out of this relationship.,train
1043,answers,-2.4,Hickory dickory dock!!,train
1044,news,0.8,The challenge was finding cars he did not have and which suited an increasingly refined taste.,train
1045,answers,1.0,I hope you understood that.,train
1046,blog,1.0,"Bartz has been making hard decisions, cutting deadwood and reassembling a Byzantine management structure into something that works.",train
1047,email,0.75,We believe them to be important.,train
1048,answers,-1.8,if it was she sure she'll understand.,train
1049,answers,-2.25,Cut your toes off!!,train
1050,answers,-1.8,"Boxer's either Joe Boxer, or George Foreman",train
1051,answers,0.8,It is part of your mind and part of your heart.,train
1052,answers,0.8,Everything you wanted to know about atheism and more.,train
1053,answers,-1.4,he was a genius.,train
1054,answers,-1.8,Good Blast from the past...,train
1055,answers,-0.6,disasemble the gun and fix it,train
1056,answers,0.4,Friday night arrives without a suitcase.,train
1057,answers,1.0,Health Screening/Testing Services hst Are your executives physically fit for long - term performance?,train
1058,blog,-0.8,The route I chose to pick was just because they wouldn't let me see my kid.,train
1059,email,1.2,The next line contains a second error message which is a general translation for other e - mail servers.,train
1060,email,2.4,Please note that the latest DOE and DCF personnel actions have not yet been detailed by those agencies nor entered into the system.,train
1061,email,0.6,"This is our end of the year program for ""Gold Card Students.""",train
1062,answers,-0.8,Governments are elected and (in theory at least!),train
1063,news,2.2,It was instituted in January 2005.,train
1064,blog,-0.2,I fear for their future with this current administration.,train
1065,news,1.6,"Dr Polly Taylor, a freelance consultant in veterinary anaesthesia, said: 'I'm aware of what has happened and I fully support David Nutt. I've still not come to a decision on what is the best course of action. I imagine we will take group action.'",train
1066,blog,-1.2,MySpace and Facebook are officially talking.,train
1067,news,1.6,"""If terrorists and militants from Pakistan try to carry out any attack in India, they will not only be defeated but will be retaliated very strongly,"" he said in his speech in Tamil.",train
1068,answers,0.2,I think that would make both of you to feel more comfortable.,train
1069,email,1.0,"Cory, can you inquire why we spend less on fraud?",train
1070,news,0.4,"The courtyard where the attack erupted was the most infamous spot on campus, an out-of-the-way, poorly lit venue for gang initiations and dopers lighting up joints.",train
1071,answers,-2.4,They even start wearing matching jackets!!!!!,train
1072,answers,-2.8,My daughter is preg.,train
1073,blog,0.2,Not just a purchase of a track but of an app that pulls consumers into an experience and further promotes user engagement and virality.,train
1074,blog,1.6,"As with the Android version, the app overlays all kinds of information onto a live view of the world around you.",train
1075,answers,-1.2,It is full of good info.,train
1076,blog,-0.2,"Well, you'll recall that Foley was a frequent guest star on Scrubs, which just happens to be the last hitcom overseen by Cougar Town mayor Bill Lawrence.",train
1077,answers,0.0,03/12/74 - Abducts Donna Manson from the campus of Evergreen College.,train
1078,email,2.0,We now need to make sure that she is positioned in a way that she can make changes that will promote employment and change the view of the VR counselors.,train
1079,answers,-0.6,Get her to a vet and they will do a skin scraping.,train
1080,news,0.8,"Sharing might be easier in Salem, where witchcraft has become something of a cottage industry.",train
